"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","246","[Positive] EKMS_Partition_01: Add a new partition with valid alphanumeric name","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","734","[Negative] EKMS_Privilege_11: Fail to grant privileges with wrong admin password","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","828","[Positive] EKMS_IP_07: Blacklist (remove) an IP from the whitelist","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","985","[Positive] EKMS_Privilege_03: List all active privileges between source and target groups","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","773","[Negative] EKMS_Group_06: Fail to add a group with special character (@) in name","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","626","[Positive] EKMS_Privilege_01: Grant privileges between valid source and target groups","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","837","[Positive] EKMS_Partition_03: List all partitions successfully","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","2192","[Negative] EKMS_Privilege_08: Fail to grant privileges with source group name shorter than 4 characters","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","777","[Negative] EKMS_IP_10: Fail to add restricted broadcast IP address 255.255.255.255","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","7236","[Negative] EKMS_Partition_05: Fail to delete a non-existent partition","firefox","2026-06-08","failed","2026-06-08","📋 Add_Delete_Partition","ekms_api_orchestrator.spec.ts","",""
"","1086","[Positive] EKMS_IP_15: Verify whitelist listing returns correct response after all operations","chromium","2026-06-08","passed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","1623","[Negative] EKMS_Privilege_10: Fail to grant privileges with an invalid privilege name","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","562","[Positive] EKMS_Group_02: Delete a user group from a partition successfully","firefox","2026-06-08","failed","2026-06-08","📋 Modify_Group","ekms_api_orchestrator.spec.ts","",""
"","284","[Negative] EKMS_IP_02: Fail to add duplicate IP address while still whitelisted","firefox","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","736","[Negative] EKMS_Privilege_13: Fail to grant privileges when target group is not an object group","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Privileges","ekms_api_orchestrator.spec.ts","",""
"","4004","[Negative] EKMS_IP_10: Fail to add restricted broadcast IP address 255.255.255.255","chromium","2026-06-08","failed","2026-06-08","📋 IP_Whitelist_Blacklist","ekms_api_orchestrator.spec.ts","",""
"","654","[Positive] EKMS_Owner_12: Activate a partition owner account","chromium","2026-06-08","failed","2026-06-08","📋 Modify_Owner","ekms_api_orchestrator.spec.ts","",""
